Cluster,Contains
Cluster 0,364
Cluster 1,2666
Cluster 2,1556
Cluster 3,372
Cluster 4,1123
Cluster 5,860
Cluster 6,695
Cluster 7,1143
Cluster 8,215
Cluster 9,385
Cluster 10,5621
